"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","53.2716323062144","53.1915280429052","53.1146484270085","53.0237561947761","52.915459481966","52.7947665207244","52.6789290960075","52.5522534291313","52.4335044703549","52.3232577533712","52.2544559391749","52.2003294278522","52.1673371378676","52.1500730569216","52.1265132788236","52.1166089578912","52.085705579523","52.0478749074998","52.0148940971663","51.9823077419771","51.9438741695091","51.9024421822655","51.8646811265782","51.833147185937","51.7884889291726","51.7358582180141","51.6646694950934","51.5855654400207","51.5285469089025","51.4909606979857","51.5231957526426","51.6010921200069","51.7243519136195","51.8843972817246","52.0736298566986","52.2556500465983","52.4538303693571","52.6503688621752","52.8291836818312","52.9568524519913","53.0174852316234","53.0021240221727","52.9311093514521","52.8123463327912","52.6939400350978","52.5791166433429","52.4705313425618","52.3771555058373","52.3022694802914","52.2220813206829","52.1549471770987","52.0862745098039","52.0247325981395","51.9713692492624","51.9219550139366","51.8782528774941","51.8429961912823","51.8092742991878","51.7884962921418","",
"Australia","AUS","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.5132722193853","49.5440384091805","49.5770062630245","49.6099972162746","49.6404338597571","49.6665837545675","49.6877016772126","49.7044533433101","49.7190665392678","49.7343343453207","49.7523495215754","49.772671645261","49.7949172023932","49.8206717049626","49.8519136348088","49.8893002325516","49.9343126965363","49.9851162440851","50.0354014831358","50.0769860435737","50.1043980148611","50.1156338994539","50.113674272256","50.1042077721597","50.0949546253698","50.0914089620876","50.0939527239694","50.1009042795662","50.1124769621288","50.1285958725951","50.148679881608","50.1741758722829","50.2040233007602","50.2318866711306","50.2498858613348","50.2529055193043","50.2384702105208","50.2095941172136","50.1735753652265","50.1403940678257","50.1167526370047","50.105810590395","50.1048946759728","50.1079358136192","50.1064404843263","50.0951629659287","50.0716592858918","50.0401002297773","50.0092887342209","49.9905888744036","49.9908439239065","50.0122770421264","50.0503166462415","50.0964484406563","50.1391905706398","50.1708743412044","50.1894718273433","50.197959138598","50.1996232411296","",
"Austria","AUT","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","53.4192371894841","53.3885359293356","53.3543174665453","53.3171495773447","53.2780528799873","53.2377688410128","53.1965160544971","53.1544910160213","53.1121577949081","53.0702174256017","53.0291350539991","52.9888393090694","52.9493003672281","52.9112074338244","52.8749496806442","52.8408211597073","52.8088258293847","52.7785041798199","52.7484208343155","52.716693076016","52.6821117645126","52.6439697905664","52.6020901644358","52.5571280135734","52.5097222455916","52.460395273776","52.4100194153877","52.3581780703623","52.302210669583","52.238802669177","52.1660667580361","52.0835236361943","51.993694752787","51.9017208244864","51.8137485899148","51.7341494419416","51.663363205008","51.6004672300932","51.5461157206505","51.5009720391558","51.4652367820855","51.439775592124","51.423601707464","51.4131304921626","51.4032939790503","51.3905231814847","51.3731775804146","51.3515532316357","51.3256988380422","51.2964819535206","51.2643423946292","51.2299460306446","51.1928870425759","51.1511489166149","51.1021502100066","51.0448321153467","50.9780954273236","50.9043071000109","50.8294266482503","",
"Azerbaijan","AZE","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","52.168738598726","52.0631710842178","51.9594728711607","51.8599800191281","51.7671070307544","51.6819553886784","51.6042052488093","51.5329471959622","51.4677423679554","51.4079255825692","51.3532927981912","51.3040924451388","51.260086316999","51.219130533743","51.1790403814542","51.1381923111018","51.0961684807575","51.0541454081415","51.0152608449214","50.9831200592702","50.9603486412599","50.9471442616403","50.9424361234764","50.9455806953028","50.9558478957408","50.9723245380935","50.9946329871032","51.0216601585903","51.0508162094097","51.0788385992911","51.1036127397878","51.1234047006331","51.138127207932","51.1487447363763","51.156577608924","51.1623555158064","51.1672118008676","51.1695417976125","51.1642757114824","51.14474245871","51.1069721152079","51.0492912601047","50.9749530781745","50.8912288120948","50.8079476970952","50.7319224089167","50.6652894798041","50.6063968688608","50.5536411841981","50.5040180368772","50.4554958142655","50.4084667455403","50.363876414997","50.3209909533537","50.2790245261328","50.2375362695515","50.1960704561536","50.1550788212384","50.1157491047071","",
"Burundi","BDI","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","51.7220082739888","51.6846641364335","51.6485285417498","51.6124929834409","51.5761532595004","51.5393723714427","51.5014054583258","51.4634907314764","51.4309260308127","51.4094546749782","51.4019551201902","51.4094900849858","51.42950789362","51.4558738682762","51.4807641889542","51.4983602544152","51.5056472379053","51.5041331490959","51.4970890778636","51.4900009602001","51.4855569581767","51.4869026747794","51.4913600779227","51.4885012798096","51.4654964969349","51.4159414603589","51.3357255187246","51.2332551510868","51.1295580341916","51.0496094925466","51.0080329710152","51.0096006719231","51.0441083381452","51.0926424624538","51.130707019063","51.1420326959348","51.1224878756326","51.0785135238879","51.01885616251","50.9565938614345","50.9015310076031","50.8562501896393","50.8178555329724","50.7845887510799","50.7530895911319","50.721283522545","50.6888674198361","50.657180294741","50.6271024835518","50.5997920135142","50.5757753406506","50.5553331697626","50.5374761301978","50.5207591960925","50.5036060965629","50.4850574318944","50.4647596367735","50.4434188201544","50.4219946366025","",
"Belgium","BEL","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.7999194097407","50.8153346830831","50.8334262396531","50.8532111889199","50.8733593774949","50.8929951753229","50.9115997149891","50.9294634531096","50.947181413046","50.9656444802004","50.9854312300467","51.0066878650336","51.0287640006623","51.0506185222334","51.0706397225081","51.0877563121304","51.1015724614695","51.1123450636584","51.1202511545407","51.1258251667382","51.1295015836966","51.1314097107927","51.131431222351","51.1296109256561","51.1256393613402","51.1197260909687","51.1116388826191","51.1018447376412","51.0913684099757","51.0815291315032","51.0733225104169","51.0669508787832","51.0621944736001","51.0587246325708","51.0560502265233","51.0536991631116","51.0519172454869","51.0506138382214","51.0481867383366","51.0426896272033","51.032897538097","51.0180902732487","50.9992157168453","50.9781669673825","50.9579663129747","50.9406331822145","50.9258076946111","50.9125805696543","50.9018102632176","50.8944529497141","50.8904731671441","50.8921758584184","50.8978467536673","50.8986635118067","50.8832770040704","50.8445436103392","50.7786624171566","50.6906454711101","50.593319387085","",
"Benin","BEN","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","52.4328461266721","52.3694930582169","52.3079855063952","52.2482523642633","52.1908876429304","52.1364280962983","52.0839368583294","52.0340670959175","51.9874351086192","51.9464109501774","51.9116256423533","51.8831878921243","51.8597775041949","51.8401210657097","51.8221203214017","51.804455943601","51.7862707260972","51.7676852257718","51.7482029312135","51.7274332399526","51.7055085857191","51.6816199256255","51.6554018530358","51.6263607875364","51.5941877671364","51.5583491605239","51.5196262734692","51.4777095568018","51.4313980950359","51.3789154401849","51.319767905483","51.2538702816742","51.1831359173863","51.1115928414866","51.0439316686544","50.9824314475598","50.9281666456633","50.8795945774705","50.8330325990781","50.7839165727055","50.7299067018587","50.669998903448","50.6065877128053","50.5446937699819","50.4904320682198","50.4473628461645","50.4163800112768","50.3946756808862","50.3775534198046","50.3587761843225","50.3347336642732","50.3044923441698","50.2700309807926","50.2339025451708","50.19940527892","50.1687695171371","50.1422635906017","50.1190046667655","50.098201703347","",
"Burkina Faso","BFA","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.1025904641449","49.2361755247641","49.3707270970791","49.5034518998427","49.6300862285544","49.7479165676304","49.8562693575021","49.9563636703927","50.0498891617774","50.1389609440517","50.2253674577641","50.3093452852494","50.3901857695581","50.4691262598236","50.5471234071932","50.6243506840626","50.7009368138384","50.7761215815199","50.8478720895691","50.9137161748148","50.9719344020676","51.0220086394511","51.0641204795747","51.0982153438743","51.124403302033","51.1426895868843","51.1535882947875","51.15744562707","51.1548693783969","51.1464695404961","51.1329715823332","51.1142767041109","51.0912208202334","51.065519892074","51.0392617228152","51.0138772710875","50.9899607952927","50.9665791325194","50.9421334591213","50.9142141204549","50.8814087860984","50.8438590896681","50.8024300141779","50.7578099515244","50.7110276629368","50.6628291673294","50.6136194839706","50.5636285191393","50.5136345302584","50.4643850796026","50.4164410208872","50.3700025774294","50.3252439827721","50.2822180626472","50.241006653634","50.2017380303353","50.1644289633092","50.1290558819784","50.0954815202072","",
"Bangladesh","BGD","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","48.0154489866966","48.0443626879283","48.0775218389763","48.1121894774622","48.1448035502994","48.1731336690938","48.1961986156499","48.2152851946116","48.2330985692151","48.2532839745012","48.2780037503141","48.3076456126877","48.340732029166","48.3751323839523","48.4076889455217","48.4357089733996","48.4595823508236","48.4793467697666","48.4920371075252","48.4943783645457","48.4851210388092","48.4634203636564","48.4323155284558","48.3989039555276","48.3719418571611","48.356978490854","48.3553491933202","48.3645024097597","48.3811130569575","48.4006335298254","48.4199577604213","48.438853068148","48.4582368666207","48.4777347147444","48.4971041271346","48.5162494624357","48.5354810292402","48.5550938335671","48.5750726723607","48.5954322663482","48.6165622921054","48.63699738922","48.6575994003898","48.6835240279591","48.7212897563743","48.7745277726002","48.8455005130032","48.9305737939954","49.0203816987568","49.1023496041231","49.1678997818018","49.2141070743514","49.2443819997218","49.2642811571794","49.2819400224771","49.3030594026594","49.328805151069","49.3572628649675","49.3872966665271","",
"Bulgaria","BGR","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.071808042171","50.0606527564314","50.0484969316856","50.0364677828367","50.0257176108266","50.0169776231036","50.0108335509097","50.0073230711258","50.0065833239286","50.0083859832725","50.0127945313458","50.0199146282262","50.030016285926","50.0426828218654","50.0573272818776","50.0735032762343","50.0912618853616","50.1106863416633","50.1329515191951","50.1591570150794","50.1901442167719","50.2261008498841","50.266485031198","50.3110646766569","50.3596256802249","50.4116885430579","50.4671523328639","50.5258491829858","50.5871550106237","50.6506235824033","50.7157297217452","50.7826508497776","50.8508676257688","50.9191069726571","50.9849646399653","51.0464053999705","51.1023918320978","51.1525238546853","51.1964544146487","51.2342436877131","51.2663180857197","51.2924584210725","51.312659844434","51.3269085041002","51.3350928320656","51.3377192868342","51.3343825596054","51.3260236185398","51.3157614933592","51.3076655156233","51.304691669817","51.3082470890347","51.3176903158124","51.331739023321","51.3479401704306","51.3644314050829","51.3809664164225","51.3978693555409","51.4140884138516","",
"Bahrain","BHR","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","46.4615308842633","46.206350246279","45.8917638904932","45.5810533170168","45.3665631424697","45.294293397072","45.3846755481398","45.5845149444048","45.8111556326376","45.9558234686003","45.9458061117461","45.793446536941","45.5350402136582","45.1610883115473","44.6742461533576","44.0973212275831","43.429687114532","42.7246849117159","42.1111207290984","41.7048809232098","41.5499434560444","41.6553512242061","41.9538130290476","42.3381451932269","42.666974434783","42.8474016994574","42.8566155606513","42.7450159360864","42.5691855940911","42.4036700680343","42.2963460347995","42.237946335741","42.204090372064","42.2092381371547","42.262777707018","42.3632867244517","42.5207504912202","42.7062479934513","42.8424776396169","42.8368994878562","42.6392922164879","42.2709483191169","41.7804771880186","41.2002958747053","40.5683705169393","39.9273694072026","39.2682562918461","38.6255169298134","38.0930251335627","37.7509440330781","37.6199970343245","37.7197409073875","37.9949259274645","38.3002960390988","38.4359986318113","38.2764771444171","37.7933542947679","37.0949422285465","36.3482516056683","",
"Bahamas, The","BHS","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","52.1728809845524","51.9349542647174","51.7177022429227","51.512486257264","51.3152088553158","51.124518063687","50.9294239006428","50.7407237536119","50.5786395038072","50.4818433628588","50.462875495938","50.5261826169966","50.6569663167719","50.8084553132179","50.916506847465","50.9473517033273","50.8841231085053","50.7544393708777","50.5940977357779","50.4463787252841","50.3473590738358","50.3053580468231","50.3033853811847","50.3258624136476","50.3538294920252","50.3723692231615","50.3769559032717","50.3742831891148","50.3732052002214","50.3753902867267","50.3822782142397","50.3948169972453","50.4127385087284","50.4450961946397","50.5026300620992","50.5912291784895","50.7165997605465","50.8687618099755","51.032002752925","51.1781489000656","51.2909124461071","51.3617828417345","51.3961977136877","51.4098293641796","51.4185008764695","51.4317465399202","51.4551463302641","51.4833114494631","51.5098347299814","51.5303203661327","51.5385872382627","51.5352505541141","51.5227693416323","51.5047853536041","51.4846543001686","51.4676643506146","51.4512215451296","51.4382486922035","51.4250521866532","",
"Bosnia and Herzegovina","BIH","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.9435266661376","50.8822588551252","50.8201947496561","50.764767863042","50.7258553394238","50.708982156514","50.7156857551518","50.7412162597401","50.7765583950582","50.8101464542071","50.8334982034476","50.8449824796349","50.8465127196972","50.8374218906159","50.8175467585404","50.7874945390425","50.7457758744691","50.6940855308689","50.6384691081626","50.587462694645","50.5467660322739","50.5192802616662","50.5040229223459","50.4963547263207","50.4899592374877","50.4808709204066","50.4658667583424","50.4481510948951","50.4362161162462","50.4427972817897","50.4754423847891","50.5412741570771","50.6379921170105","50.7531858767229","50.8624988473342","50.94324987745","50.9829803749264","50.9850190173096","50.960678974426","50.9295276186884","50.9057692840858","50.8919418220781","50.8844655341599","50.8819755785145","50.8813573370554","50.8804270114827","50.8794498996394","50.880157840284","50.8826903616983","50.8879279539715","50.8960247503831","50.9075643243299","50.9220321267405","50.9388025398309","50.9559731955317","50.9721341753947","50.9865890511162","50.9993931137205","51.0105360252881","",
"Belarus","BLR","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","54.8173074781034","54.7168304985749","54.6215271139373","54.5318409719567","54.4479077020812","54.3700218817352","54.2984805012685","54.2329815339643","54.1717689794613","54.1124611704981","54.0533854696934","53.9938315577754","53.9342447143186","53.8749207947738","53.8164108621866","53.7593242247195","53.7032846861058","53.6482067290669","53.5952396965921","53.5458266420224","53.5008448933405","53.461558099125","53.4273212816374","53.3949770345825","53.3601204158111","53.320171008554","53.2732581394933","53.2213730256012","53.1704877857408","53.1285262741999","53.1007025322784","53.0899630294313","53.0937910477276","53.1053613208628","53.1147930211668","53.1153232225987","53.1034796523673","53.0825495611972","53.0605860429493","53.0492803624184","53.0569353506283","53.0862825984347","53.1337793040214","53.1936356540574","53.2566820719279","53.3157576649356","53.3690333937032","53.4174412906304","53.4582303441659","53.4891757893618","53.5088831086337","53.5153042128379","53.5090997228961","53.4950170329459","53.4795268996968","53.4673831793126","53.4605391398654","53.4575814162466","53.4560542241486","",
"Belize","BLZ","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.6201937698223","50.5850052798311","50.5482996550025","50.5136524734189","50.491418370218","50.4617414248021","50.4343929472876","50.4103560559681","50.3872829879809","50.3609487796494","50.3339226085249","50.3145158059217","50.2870580093117","50.2552322613578","50.2044857393092","50.1253151638852","50.0114693324849","49.8766333309001","49.733405288721","49.6227937325728","49.5476682715655","49.5236223673868","49.5352705860608","49.5713002182005","49.6073992303902","49.6270874010114","49.6264057699226","49.6142440042906","49.5964205716584","49.5800426225398","49.5761220768419","49.5819730453708","49.5929478602746","49.6101201771031","49.6219239484527","49.6327828296982","49.6386782738931","49.6441385535372","49.6447308988569","49.6470401164956","49.6518539484857","49.6585224332335","49.6678570203554","49.6789494781537","49.7005598229397","49.7311468015983","49.7741454942369","49.8259377790263","49.8787570643565","49.929923249273","49.9703843828012","50.000908441236","50.0247040689229","50.0446910244803","50.0667862782498","50.0908773543607","50.1214715566546","50.1574080234183","50.1925230570834","",
"Bermuda","BMU","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.4473249783085","50.4183478798612","50.3894035123887","50.3603457525036","50.3310585611706","50.3017308080364","50.2721516976158","50.2426768658984","50.21319262589","50.1837444591875","50.1544155625196","50.1251486330993","50.0959979429317","50.0674896926732","50.0400834455166","50.0141060136405","49.9898503126456","49.9669392433763","49.9449012207046","49.9235594232805","49.9024360870348","49.8814484146139","49.8606893572173","49.8404129441486","49.8206016855282","49.8013580474669","49.7829256621635","49.7653823851156","49.7488875157705","49.7333553336447","49.7190829967025","49.7056959353378","49.693202700157","49.6829077882967","49.6761393648035","49.6735776731904","49.6758949556693","49.6819949674033","49.68928933434","49.6942981926026","49.69488980515","49.6905332762099","49.6823908801986","49.6727533231078","49.6646394041092","49.6601876390295","49.6597448402945","49.6627377820518","49.6683264658785","49.6754609860199","49.6834234669775","49.6920527671189","49.7015179794091","49.7120904919432","49.723901806722","49.7370864341458","49.7515732215404","49.7671683886137","49.7833991301085","",
"Brazil","BRA","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.2130273339694","50.2011348523963","50.1910328456256","50.1827709306252","50.1763828469976","50.1717901291289","50.1689263816159","50.1675994025841","50.1674802434981","50.1682018405266","50.1694668982292","50.1712884537075","50.1735910899033","50.1759900109816","50.1780109606315","50.1794173677601","50.1801665006193","50.1805188279886","50.1809667341949","50.1821198609292","50.1844258851881","50.1879055479071","50.1925235024066","50.1985151428385","50.2061543604403","50.215568639264","50.2268568252817","50.2398482135266","50.254118109202","50.269111639064","50.2844471990455","50.2999838303183","50.3158232541085","50.3321313584193","50.3491400701651","50.366983031324","50.3856278141703","50.4049272549525","50.4247527316168","50.4449610609237","50.4654350490161","50.4861313190326","50.5070196384518","50.5280485078085","50.5491521306704","50.5702887727671","50.5914439897552","50.6125865323673","50.6336055336916","50.6543536900621","50.6747355576454","50.6946751834337","50.7142025894958","50.7334615213808","50.752659213079","50.7719224932182","50.7912843511594","50.8106594294745","50.8299167629894","",
"Barbados","BRB","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","55.2386518605104","55.1463416739312","54.9305098807943","54.6346390905355","54.3258819717974","54.0415861351231","53.8007658291117","53.593114201326","53.4056086426882","53.2221395763207","53.0262249105255","52.8195324311829","52.6098963659776","52.4202307097369","52.2847577899225","52.2180875697723","52.2303541424325","52.3116847640511","52.4208633093525","52.5198231926381","52.5710414124285","52.5681416208704","52.5173371956643","52.4351331090973","52.3376374303797","52.2481073909311","52.1618562755477","52.0762600189138","51.9998455419547","51.9354826300868","51.8884158002246","51.862075811723","51.8566700901518","51.8598243825535","51.8730204271159","51.8881013705326","51.9017251644841","51.91455088503","51.9288318593271","51.9417278290289","51.9533278578032","51.9622450402578","51.9714874023034","51.9791784377267","51.9875909518568","51.9955124493341","52.0068474637355","52.0202654457644","52.0282483050303","52.027519770052","52.0130719417576","51.9847201461551","51.9418536612877","51.8917036588883","51.8409549723514","51.7928552152443","51.7484377077516","51.7089463331808","51.6728300307005","",
